,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL296346,S=C(NCN1CCOCC1)Nc1ccc(Br)cn1,inactive,331.239,1.4201999999999995,2.0,4.0,5.0
1,CHEMBL318730,CCc1cc(NCc2ccc3ccccc3c2)c(O)nc1C,active,292.38200000000006,4.423320000000004,2.0,3.0,6.339998279897117
2,CHEMBL303928,O=c1[nH]c2c(c(=O)[nH]1)CNc1ccccc1S2,inactive,247.27900000000002,1.1398999999999997,3.0,4.0,4.0
3,CHEMBL68175,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(C)C1,inactive,257.337,2.2823,1.0,3.0,4.493494967595128
4,CHEMBL69775,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(C(C)C)C1,inactive,285.391,2.918400000000001,1.0,3.0,4.899629454882437
5,CHEMBL431274,CCc1cc(NCc2nc3ccccc3s2)c(O)nc1C,active,299.39900000000006,3.8798200000000023,2.0,5.0,6.459996055149973
6,CHEMBL68933,CC1C(C)n2c(S)nc3cccc(c32)CN1CC1CC1,inactive,287.4320000000001,3.5001000000000024,1.0,4.0,4.872895201635193
7,CHEMBL69566,CC1Cn2c(S)nc3cc(Cl)cc(c32)CN1CC1CC1,active,307.85000000000014,3.592500000000002,1.0,4.0,7.468521082957745
9,CHEMBL121835,CCc1cc(NCc2cc3ccccc3s2)c(O)nc1C,active,298.41100000000006,4.484820000000004,2.0,4.0,6.299997602857746
10,CHEMBL125510,CCc1cc(NCc2cnc3ccccc3c2)c(O)nc1C,active,293.37000000000006,3.8183200000000026,2.0,4.0,6.470005326930858
12,CHEMBL223228,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,active,315.67799999999994,4.073100000000001,1.0,2.0,9.1249387366083
14,CHEMBL69275,CC(=O)OCCOCn1c2c(c(=O)n(C)c1=O)CNc1ccccc1S2,inactive,377.422,1.1608999999999998,1.0,9.0,4.0
15,CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,inactive,266.30400000000003,2.6512200000000004,1.0,4.0,4.638272163982407
17,CHEMBL420367,CC(C)=CCN1CCn2c(=S)[nH]c3ccc(Cl)c(c32)C1,active,307.85000000000014,4.134090000000003,1.0,3.0,7.337242168318426
18,CHEMBL69934,O=c1[nH]c(=O)n(COCCO)c2c1CNc1ccccc1S2,inactive,321.358,0.5797,3.0,7.0,4.0
19,CHEMBL340255,CCc1cc(NCc2c[nH]c3ccccc23)c(O)nc1C,inactive,281.35900000000004,3.7514200000000013,3.0,3.0,4.65000002688118
20,CHEMBL85975,CCc1cc(NCc2cccnc2)c(O)nc1C,inactive,243.31,2.665120000000001,2.0,4.0,3.5200000029339815
21,CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,active,456.5720000000002,2.7171000000000003,3.0,6.0,7.6777807052660805
22,CHEMBL66434,CC1Cn2c(S)nc3cccc(c32)CN1CC1CC1,active,273.4050000000001,2.9391000000000016,1.0,4.0,7.221848749616356
23,CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,active,266.30400000000003,2.6512200000000004,1.0,4.0,6.638272163982407
25,CHEMBL67675,CC(C)=CCN1Cc2cc(Cl)cc3nc(O)n(c23)CC1C,active,305.8090000000001,3.5656000000000025,1.0,4.0,6.7447274948966935
26,CHEMBL303273,O=c1[nH]c(=O)n(COCCO)c2c1C(c1ccccc1)Nc1ccccc1S2,inactive,397.4560000000001,2.1690999999999994,3.0,7.0,4.0
27,CHEMBL66016,O=c1[nH]c(=O)n(COCCO)c2c1C(c1ccc([N+](=O)[O-])cc1)Nc1ccccc1S2,inactive,442.4530000000001,2.0772999999999993,3.0,9.0,4.0
28,CHEMBL308644,CC(C)=CCN1[C@@H](C)c2cc(Cl)cc3nc(S)n(c23)C[C@H]1C,active,335.9040000000001,4.709700000000003,1.0,4.0,6.318758762624412
29,CHEMBL123968,CCc1cc(NCc2cc3ccncc3o2)c(O)nc1C,inactive,283.331,3.4113200000000017,2.0,5.0,3.9800000199290153
30,CHEMBL35033,CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O,active,302.374,2.2447999999999997,1.0,4.0,6.096910013008056
31,CHEMBL125702,CCc1cc(NCc2ccoc2)c(O)nc1C,inactive,232.283,2.863120000000001,2.0,4.0,3.839999991210369
32,CHEMBL40625,Fc1cccc(CC/N=C(\S)Nc2ccc(Br)cn2)c1,active,354.24800000000005,3.9236000000000013,2.0,2.0,6.154901959985743
33,CHEMBL66155,CC(C)=CCN1CCn2c(=S)[nH]c3ccc(Cl)c(c32)C1C,active,321.8770000000001,4.695090000000004,1.0,3.0,7.920818753952375
34,CHEMBL415320,CCc1cc(NCc2nc3ccccc3o2)c(O)nc1C,active,283.3310000000001,3.4113200000000017,2.0,5.0,6.679999195735272
35,CHEMBL410036,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)CNc1ccccc1S2,inactive,363.39500000000004,1.1504999999999999,2.0,8.0,4.939302159646388
36,CHEMBL307994,CC(C)=CCN1CCn2c(=O)[nH]c3cc(Cl)cc(c32)C1C,active,305.8090000000001,3.325800000000002,1.0,3.0,6.795880017344075
37,CHEMBL303015,CC(C)=CCN1[C@H](C)Cn2c(=S)[nH]c3cccc(c32)[C@H]1C,active,301.4590000000001,4.430190000000003,1.0,3.0,7.376750709602099
39,CHEMBL296092,CC(C)=CCN1Cc2cc(Cl)cc3nc(S)n(c23)CC1C,active,321.8770000000001,4.148700000000003,1.0,4.0,7.366531544420414
40,CHEMBL46961,CC(C)=CCN1Cc2cccc3[nH]c(=S)n(c23)C[C@@H]1C,active,287.4320000000001,3.8691900000000023,1.0,3.0,7.013228265733755
43,CHEMBL69657,CCOCCOCn1c2c(c(=O)[nH]c1=O)CNc1ccccc1S2,active,349.41200000000003,1.6239,2.0,7.0,6.1938200260161125
44,CHEMBL123735,CCc1cc(NCc2cc3cnccc3o2)c(O)nc1C,inactive,283.331,3.4113200000000017,2.0,5.0,4.489999942195333
45,CHEMBL304331,CC(C)=CCN1Cc2cccc3nc(O)n(c23)C(C)C1C,inactive,285.391,3.473200000000002,1.0,4.0,4.246416941107094
46,CHEMBL304826,CC(C)=CCN1[C@@H](C)c2cc(Cl)cc3nc(O)n(c23)C[C@H]1C,active,319.8360000000001,4.126600000000003,1.0,4.0,6.638272163982407
48,CHEMBL305070,CC(C)=CCN1CC(C)n2c(S)nc3cccc(c32)C1C,inactive,301.4590000000001,4.228800000000003,1.0,4.0,4.58838029403677
49,CHEMBL40631,S=C(NCCc1ccccc1Cl)Nc1ccc(Br)cn1,active,370.70300000000003,4.026600000000002,2.0,2.0,6.154901959985743
50,CHEMBL338129,CCc1cc(NCc2ccco2)c(O)nc1C,inactive,232.283,2.863120000000001,2.0,4.0,4.539999925177879
51,CHEMBL240416,COc1ccc(OC)c(CCNC(=S)Nc2ccc(Br)cn2)c1,active,396.31,3.3904000000000014,2.0,4.0,7.0
52,CHEMBL295585,Fc1ccccc1CC/N=C(\S)Nc1ccc(Br)cn1,active,354.248,3.9236000000000013,2.0,2.0,6.221848749616356
54,CHEMBL302788,CCOCn1c2c(c(=O)[nH]c1=O)CNc1ccccc1S2,inactive,305.35900000000004,1.6072999999999995,2.0,6.0,4.29929628285498
55,CHEMBL69517,CC(C)=CCN1CCn2c(=O)[nH]c3cccc(c32)C1C,inactive,271.36400000000003,2.6724000000000014,1.0,3.0,4.91721462968355
57,CHEMBL66377,CCCN1Cc2cccc3[nH]c(=O)n(c23)CC1C,inactive,245.32599999999996,1.9437,1.0,3.0,4.224025668870631
59,CHEMBL316785,CCc1cc(NCc2cc3ccccc3o2)c(O)nc1C,active,282.343,4.016320000000003,2.0,4.0,6.480001470881152
61,CHEMBL58711,CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,active,321.8770000000001,4.522590000000004,1.0,3.0,8.301029995663981
62,CHEMBL68530,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)C(=O)Nc1ccccc1S2,inactive,377.37800000000004,0.7907000000000001,2.0,8.0,4.0
64,CHEMBL308222,C=C(C)CN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)C(C)C1,active,307.8500000000001,4.304990000000004,1.0,3.0,6.173925197299173
65,CHEMBL65881,CC(C)=CCN1CCn2c(=S)[nH]c3cccc(c32)C1C,active,287.4320000000001,4.041690000000003,1.0,3.0,7.107905397309519
66,CHEMBL67095,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)CN(C)c1ccccc1S2,inactive,377.4220000000001,1.1748000000000003,1.0,8.0,4.8326826652518236
68,CHEMBL339138,CCc1cc(NCc2ccccn2)c(O)nc1C,inactive,243.31,2.665120000000001,2.0,4.0,4.820000071285178
69,CHEMBL420740,CC(C)=CCN1CCn2c(=O)[nH]c3ccc(Cl)c(c32)C1C,active,305.8090000000001,3.325800000000002,1.0,3.0,6.838631997765025
70,CHEMBL66350,C=C(C)CN1Cc2cccc3nc(S)n(c23)CC1C,active,273.405,3.1052000000000017,1.0,4.0,7.585026652029182
71,CHEMBL39999,S=C(NCCc1ccccn1)Nc1ccc(Br)cn1,active,337.24600000000004,2.7682,2.0,3.0,6.096910013008056
72,CHEMBL69674,CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1,active,307.85000000000014,4.134090000000003,1.0,3.0,6.795880017344075
74,CHEMBL304317,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(CCC)C1,inactive,285.391,3.0625000000000018,1.0,3.0,4.317854923626168
75,CHEMBL65801,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)CC1C,inactive,257.33699999999993,2.1098,1.0,3.0,4.459670525209126
76,CHEMBL304294,CC(C)=CCN1CCn2c(=S)[nH]c3cc(Cl)cc(c32)C1C,active,321.8770000000001,4.695090000000004,1.0,3.0,7.638272163982407
77,CHEMBL123639,CCc1cc(NCc2ccc3ccccc3n2)c(O)nc1C,active,293.37000000000006,3.8183200000000017,2.0,4.0,6.279997898282849
78,CHEMBL66758,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)C(c1ccccc1)Nc1ccccc1S2,inactive,439.49300000000005,2.7398999999999996,2.0,8.0,4.0
79,CHEMBL314567,CN1N=C(N)c2cn(C3C[C@@H](O)[C@@H](CO)O3)c3ncnc1c23,inactive,304.31000000000006,-0.8578999999999997,3.0,9.0,4.0
80,CHEMBL462018,CN1N=C(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23,active,400.28800000000007,-1.7700999999999993,5.0,11.0,7.3979400086720375
81,CHEMBL2367598,CN1N=C(N)c2cn([C@H]3C=C[C@@H](CO)O3)c3ncnc1c23,inactive,286.2950000000001,-0.052699999999999914,2.0,8.0,4.0
82,CHEMBL2112098,CN1N=C(N)c2cn([C@H]3CC[C@@H](CO)O3)c3ncnc1c23,inactive,288.31100000000004,0.17129999999999984,2.0,8.0,4.6777807052660805
83,CHEMBL1790617,CN1N=C(N)c2cn([C@@H]3O[C@H](CO)C[C@H]3O)c3ncnc1c23,inactive,304.31000000000006,-0.8578999999999997,3.0,9.0,4.0
84,CHEMBL331237,CN1N=C(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23,active,320.3090000000001,-1.8870999999999987,4.0,10.0,7.3979400086720375
85,CHEMBL315509,CN1N=C(N)c2cn(C3O[C@H](CO)[C@H]4O[C@H]34)c3ncnc1c23,inactive,302.29400000000004,-0.8414999999999997,2.0,9.0,4.0
86,CHEMBL609194,C[C@H]1OC(n2cc3c4c(ncnc42)N(C)N=C3N)[C@H](O)[C@@H]1O,inactive,304.31,-0.8595000000000004,3.0,9.0,4.0
87,CHEMBL104349,Oc1ncccc1C(C#CC1CC1)(OCc1ccccn1)C(F)(F)F,active,348.32399999999996,3.570000000000002,1.0,4.0,7.585026652029182
88,CHEMBL177191,CCc1cnc(O)c(CCc2nc3ccccc3o2)c1,active,268.316,3.2760000000000016,1.0,4.0,6.752026733638194
90,CHEMBL86109,CCc1cc(NCc2cc(CC)c(C)nc2OC)c(O)nc1C,active,315.41700000000003,3.5445400000000022,2.0,5.0,7.721246399047171
91,CHEMBL290204,Cc1nnc2n1-c1cccnc1N(C1CC1)c1ncccc1-2,inactive,290.33,2.6466200000000004,0.0,6.0,4.939302159646388
92,CHEMBL320379,Oc1ncccc1C(/C=C/C1CC1)(OCc1ccccc1)C(F)(F)F,active,349.352,4.727800000000003,1.0,3.0,7.77780395369828
