molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL296346,S=C(NCN1CCOCC1)Nc1ccc(Br)cn1,inactive,10000.0
CHEMBL318730,CCc1cc(NCc2ccc3ccccc3c2)c(O)nc1C,active,457.09
CHEMBL303928,O=c1[nH]c2c(c(=O)[nH]1)CNc1ccccc1S2,inactive,100000.0
CHEMBL68175,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(C)C1,inactive,32100.0
CHEMBL69775,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(C(C)C)C1,inactive,12600.0
CHEMBL431274,CCc1cc(NCc2nc3ccccc3s2)c(O)nc1C,active,346.74
CHEMBL68933,CC1C(C)n2c(S)nc3cccc(c32)CN1CC1CC1,inactive,13400.0
CHEMBL69566,CC1Cn2c(S)nc3cc(Cl)cc(c32)CN1CC1CC1,active,34.0
CHEMBL67451,CCCN1Cc2cccc3[nH]c(=S)n(c23)CC1C,intermediate,1670.0
CHEMBL121835,CCc1cc(NCc2cc3ccccc3s2)c(O)nc1C,active,501.19
CHEMBL125510,CCc1cc(NCc2cnc3ccccc3c2)c(O)nc1C,active,338.84
CHEMBL125873,CCc1cc(NCc2cccc3ccccc23)c(O)nc1C,intermediate,2089.3
CHEMBL223228,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,active,0.75
CHEMBL66043,CC(C)=CCN1Cc2cccc3[nH]c(=S)n(c23)C(C)C1C,intermediate,2220.0
CHEMBL69275,CC(=O)OCCOCn1c2c(c(=O)n(C)c1=O)CNc1ccccc1S2,inactive,100000.0
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,inactive,23000.0
CHEMBL288626,S=C(NCN1CCCCC1)Nc1ccc(Br)cn1,intermediate,5800.0
CHEMBL420367,CC(C)=CCN1CCn2c(=S)[nH]c3ccc(Cl)c(c32)C1,active,46.0
CHEMBL69934,O=c1[nH]c(=O)n(COCCO)c2c1CNc1ccccc1S2,inactive,100000.0
CHEMBL340255,CCc1cc(NCc2c[nH]c3ccccc23)c(O)nc1C,inactive,22387.21
CHEMBL85975,CCc1cc(NCc2cccnc2)c(O)nc1C,inactive,301995.17
CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,active,21.0
CHEMBL66434,CC1Cn2c(S)nc3cccc(c32)CN1CC1CC1,active,60.0
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,active,230.0
CHEMBL287978,Fc1ccc(CC/N=C(\S)Nc2ccc(Br)cn2)cc1,intermediate,6400.0
CHEMBL67675,CC(C)=CCN1Cc2cc(Cl)cc3nc(O)n(c23)CC1C,active,180.0
CHEMBL303273,O=c1[nH]c(=O)n(COCCO)c2c1C(c1ccccc1)Nc1ccccc1S2,inactive,100000.0
CHEMBL66016,O=c1[nH]c(=O)n(COCCO)c2c1C(c1ccc([N+](=O)[O-])cc1)Nc1ccccc1S2,inactive,100000.0
